name,region
안흥초등학교,충청남도
청산초등학교,충청북도
한전초등학교,강원특별자치도
백산초등학교,부산광역시
서울본동초등학교,서울특별시
의왕덕성초등학교,경기도
봉래초등학교,전라남도
신영초등학교,경기도
서울개화초등학교,서울특별시
도계초등학교,경상남도
송산초등학교,경기도
인천도림초등학교,인천광역시
함안초등학교,경상남도
군산지곡초등학교,전북특별자치도
벽탄초등학교,강원특별자치도
아미초등학교,부산광역시
마산신월초등학교,경상남도
우정초등학교,경기도
전주팔복초등학교,전북특별자치도
대구강북초등학교,대구광역시
망성초등학교,전북특별자치도
구갈초등학교,경기도
용호초등학교,경상남도
단월초등학교,충청북도
구미신평초등학교,경상북도
도궁초등학교,경기도
자은초등학교,전라남도
구산초등학교,충청남도
권선초등학교,경기도
서울삼육초등학교,서울특별시
송신초등학교,경기도
연무초등학교,경기도
아화초등학교,경상북도
상봉초등학교,경기도
서울방이초등학교,서울특별시
옴천초등학교,전라남도
수원신곡초등학교,경기도
오리초등학교,경기도
일동초등학교,경상남도
가평초등학교,충청북도
서동초등학교,부산광역시
초전초등학교,경상북도
마리초등학교,경상남도
덕동초등학교,경기도
신진초등학교,경상남도
상안초등학교,울산광역시
인계초등학교,경기도
동향초등학교,전북특별자치도
오창초등학교,충청북도
보정초등학교,경기도
산성초등학교,충청북도
서울신중초등학교,서울특별시
경운초등학교,경상남도
대전가오초등학교,대전광역시
서울창림초등학교,서울특별시
쌍룡초등학교,강원특별자치도
대구효명초등학교,대구광역시
고산초등학교,전북특별자치도
서울종암초등학교,서울특별시
합포초등학교,경상남도
서울율현초등학교,서울특별시
인천신월초등학교,인천광역시
명진초등학교,부산광역시
전주조촌초등학교,전북특별자치도
서호초등학교,제주특별자치도
봉삼초등학교,부산광역시
금성초등학교,전라남도
신일초등학교,경기도
영남초등학교,경상북도
앙성초등학교,충청북도
서울여의도초등학교,서울특별시
월항초등학교지방분교장,경상북도
대일초등학교,경기도
서울남부초등학교,서울특별시
서호초등학교,경기도
대구진월초등학교,대구광역시
월포초등학교,경상남도
귀둔초등학교,강원특별자치도
고실초등학교,광주광역시
금구초등학교,광주광역시
대구왕선초등학교,대구광역시
왕미초등학교,충청북도
서울용곡초등학교,서울특별시
성주초등학교,경기도
이리동초등학교,전북특별자치도
마성초등학교,경기도
가산초등학교,경기도
약수초등학교,울산광역시
서울서신초등학교,서울특별시
전주용소초등학교,전북특별자치도
순천비봉초등학교,전라남도
동일중앙초등학교,부산광역시
대교초등학교,경상북도
화성월문초등학교,경기도
수안보초등학교,충청북도
군외초등학교,전라남도
대구의흥초등학교석산분교장,대구광역시
산북초등학교창구분교장,경상북도
산양초등학교,경상북도
무동초등학교,경상남도
도창초등학교,경기도
신길초등학교,경기도
이원초등학교,충청북도
목포용해초등학교,전라남도
언동초등학교,경기도
서울왕북초등학교,서울특별시
대창초등학교,경상북도
가평초등학교,전북특별자치도
